Time(s),CH1V,CH2V
-1.000000e-02,-2.511600e+00,-2.285733e+00
-9.980000e-03,-2.500267e+00,-2.283467e+00
-9.960000e-03,-2.516133e+00,-2.290267e+00
-9.940000e-03,-2.502533e+00,-2.290267e+00
-9.920000e-03,-2.488933e+00,-2.292533e+00
-9.900000e-03,-2.507067e+00,-2.303867e+00
-9.880000e-03,-2.500267e+00,-2.301600e+00
-9.860000e-03,-2.516133e+00,-2.303867e+00
-9.840000e-03,-2.516133e+00,-2.297067e+00
-9.820000e-03,-2.516133e+00,-2.310667e+00
-9.800000e-03,-2.511600e+00,-2.321867e+00
-9.780000e-03,-2.507067e+00,-2.326400e+00
-9.760000e-03,-2.516133e+00,-2.333200e+00
-9.740000e-03,-2.511600e+00,-2.328667e+00
-9.720000e-03,-2.502533e+00,-2.333200e+00
-9.700000e-03,-2.516133e+00,-2.328667e+00
-9.680000e-03,-2.507067e+00,-2.340000e+00
-9.660000e-03,-2.518400e+00,-2.333200e+00
-9.640000e-03,-2.516133e+00,-2.349067e+00
-9.620000e-03,-2.507067e+00,-2.346800e+00
-9.600000e-03,-2.513867e+00,-2.353600e+00
-9.580000e-03,-2.516133e+00,-2.360400e+00
-9.560000e-03,-2.516133e+00,-2.358133e+00
-9.540000e-03,-2.513867e+00,-2.346800e+00
-9.520000e-03,-2.516133e+00,-2.346800e+00
-9.500000e-03,-2.520667e+00,-2.364933e+00
-9.480000e-03,-2.513867e+00,-2.369467e+00
-9.460000e-03,-2.511600e+00,-2.355867e+00
-9.440000e-03,-2.511600e+00,-2.376267e+00
-9.420000e-03,-2.507067e+00,-2.362667e+00
-9.400000e-03,-2.516133e+00,-2.378533e+00
-9.380000e-03,-2.504800e+00,-2.376267e+00
-9.360000e-03,-2.502533e+00,-2.371733e+00
-9.340000e-03,-2.520667e+00,-2.380800e+00
-9.320000e-03,-2.520667e+00,-2.383067e+00
-9.300000e-03,-2.507067e+00,-2.376267e+00
-9.280000e-03,-2.522933e+00,-2.394400e+00
-9.260000e-03,-2.511600e+00,-2.392133e+00
-9.240000e-03,-2.516133e+00,-2.383067e+00
-9.220000e-03,-2.525200e+00,-2.385333e+00
-9.200000e-03,-2.504800e+00,-2.394400e+00
-9.180000e-03,-2.500267e+00,-2.392133e+00
-9.160000e-03,-2.520667e+00,-2.394400e+00
-9.140000e-03,-2.520667e+00,-2.403467e+00
-9.120000e-03,-2.518400e+00,-2.398933e+00
-9.100000e-03,-2.511600e+00,-2.396667e+00
