Time(s),CH1V,CH2V
-5.000000e-04,-1.333333e-02,-1.600000e-02
-4.990000e-04,-4.533333e-03,-5.333333e-03
-4.980000e-04,-1.760000e-02,-1.173333e-02
-4.970000e-04,-3.466667e-03,-2.026667e-02
-4.960000e-04,8.266667e-03,-4.186667e-02
-4.950000e-04,-2.400000e-03,-1.493333e-02
-4.940000e-04,-1.760000e-02,-1.386667e-02
-4.930000e-04,-1.226667e-02,-1.600000e-02
-4.920000e-04,-2.186667e-02,-1.600000e-02
-4.910000e-04,-3.466667e-03,-1.920000e-02
-4.900000e-04,6.133333e-03,-2.026667e-02
-4.890000e-04,-1.333333e-03,-2.693333e-02
-4.880000e-04,-2.666667e-04,-7.466667e-03
-4.870000e-04,-2.666667e-04,-4.266667e-03
-4.860000e-04,-1.120000e-02,-1.600000e-02
-4.850000e-04,-7.733333e-03,-9.600000e-03
-4.840000e-04,-8.800000e-03,1.066667e-03
-4.830000e-04,-8.800000e-03,-7.466667e-03
-4.820000e-04,-6.666667e-03,-1.813333e-02
-4.810000e-04,-1.013333e-02,-7.466667e-03
-4.800000e-04,-2.666667e-04,-1.173333e-02
-4.790000e-04,-1.013333e-02,-7.466667e-03
-4.780000e-04,-2.666667e-04,-1.813333e-02
-4.770000e-04,-1.013333e-02,-1.173333e-02
-4.760000e-04,-1.333333e-02,-7.466667e-03
-4.750000e-04,-1.760000e-02,-2.480000e-02
-4.740000e-04,-1.333333e-02,-1.813333e-02
-4.730000e-04,-1.653333e-02,-2.586667e-02
-4.720000e-04,-1.760000e-02,1.066667e-03
-4.710000e-04,-1.226667e-02,-8.533333e-03
-4.700000e-04,-4.533333e-03,-5.333333e-03
-4.690000e-04,-4.533333e-03,-2.373333e-02
-4.680000e-04,-1.333333e-02,-2.026667e-02
-4.670000e-04,-1.653333e-02,-2.266667e-02
-4.660000e-04,4.000000e-03,-2.906667e-02
-4.650000e-04,-1.333333e-02,-2.026667e-02
-4.640000e-04,-8.800000e-03,-2.026667e-02
-4.630000e-04,-3.466667e-03,-3.333334e-02
