Time(s),CH1V,CH2V
-1.000000e-03,-8.800000e-03,-4.613334e-02
-9.990000e-04,-1.333333e-02,-2.800000e-02
-9.980000e-04,-1.333333e-02,-2.480000e-02
-9.970000e-04,-6.666667e-03,-2.693333e-02
-9.960000e-04,-2.666667e-04,-2.026667e-02
-9.950000e-04,-1.226667e-02,-2.480000e-02
-9.940000e-04,-1.546667e-02,-2.266667e-02
-9.930000e-04,-1.120000e-02,-1.493333e-02
-9.920000e-04,-8.800000e-03,-7.466667e-03
-9.910000e-04,-1.440000e-02,-2.266667e-02
-9.900000e-04,-1.120000e-02,-1.600000e-02
-9.890000e-04,-4.533333e-03,-1.280000e-02
-9.880000e-04,-1.333333e-02,-2.906667e-02
-9.870000e-04,-1.333333e-02,-1.920000e-02
-9.860000e-04,-1.333333e-02,-2.906667e-02
-9.850000e-04,-1.866667e-02,-1.706667e-02
-9.840000e-04,-4.533333e-03,-3.760000e-02
-9.830000e-04,-1.013333e-02,-9.600000e-03
-9.820000e-04,-1.546667e-02,-1.600000e-02
-9.810000e-04,-2.400000e-03,-1.920000e-02
-9.800000e-04,-2.666667e-04,-2.906667e-02
-9.790000e-04,-1.440000e-02,-2.026667e-02
-9.780000e-04,-1.546667e-02,-2.026667e-02
-9.770000e-04,-1.013333e-02,-2.693333e-02
-9.760000e-04,-1.333333e-02,-7.466667e-03
-9.750000e-04,-7.733333e-03,-2.800000e-02
-9.740000e-04,-6.666667e-03,-1.173333e-02
-9.730000e-04,-1.226667e-02,-7.466667e-03
-9.720000e-04,-1.333333e-02,-1.600000e-02
-9.710000e-04,-1.440000e-02,-3.546667e-02
-9.700000e-04,-3.066667e-02,-2.693333e-02
-9.690000e-04,2.933333e-03,-1.600000e-02
-9.680000e-04,-1.760000e-02,-1.600000e-02
-9.670000e-04,-7.733333e-03,-2.133333e-02
-9.660000e-04,-1.333333e-02,-2.480000e-02
-9.650000e-04,-1.333333e-02,-2.026667e-02
-9.640000e-04,-2.186667e-02,-2.480000e-02
-9.630000e-04,-7.733333e-03,-2.373333e-02
-9.620000e-04,-2.186667e-02,-2.906667e-02
-9.610000e-04,-8.800000e-03,-2.586667e-02
-9.600000e-04,-8.800000e-03,-2.480000e-02
-9.590000e-04,-1.546667e-02,-2.373333e-02
-9.580000e-04,-8.800000e-03,-3.120000e-02
-9.570000e-04,-2.080000e-02,-2.906667e-02
-9.560000e-04,-3.066667e-02,-2.026667e-02
-9.550000e-04,-2.400000e-02,-2.373333e-02
-9.540000e-04,-8.800000e-03,-2.026667e-02
-9.530000e-04,-1.120000e-02,-1.386667e-02
-9.520000e-04,-2.186667e-02,-2.480000e-02
-9.510000e-04,-1.120000e-02,-2.133333e-02
-9.500000e-04,-2.400000e-03,-2.266667e-02
-9.490000e-04,-8.800000e-03,-2.800000e-02
-9.480000e-04,-1.333333e-02,-2.480000e-02
-9.470000e-04,-1.653333e-02,-1.706667e-02
-9.460000e-04,-1.333333e-02,-2.906667e-02
-9.450000e-04,-6.666667e-03,-1.920000e-02
-9.440000e-04,-1.333333e-02,-3.200000e-03
-9.430000e-04,-1.120000e-02,-1.066667e-02
-9.420000e-04,-4.533333e-03,-1.386667e-02
-9.410000e-04,-1.226667e-02,-2.480000e-02
-9.400000e-04,-1.333333e-02,-2.026667e-02
-9.390000e-04,-2.400000e-03,-1.813333e-02
-9.380000e-04,1.866667e-03,-7.466667e-03
-9.370000e-04,-1.866667e-02,-3.120000e-02
-9.360000e-04,-3.066667e-02,-2.026667e-02
-9.350000e-04,-1.653333e-02,-2.586667e-02
-9.340000e-04,-4.533333e-03,-7.466667e-03
-9.330000e-04,-1.013333e-02,-2.266667e-02
