Time(s),CH1V,CH2V
-5.880000e-04,4.359200e+00,2.088533e+00
-5.870000e-04,4.359734e+00,2.087467e+00
-5.860000e-04,4.360267e+00,2.086400e+00
-5.850000e-04,4.360800e+00,2.085067e+00
-5.840000e-04,4.361333e+00,2.084000e+00
-5.830000e-04,4.361867e+00,2.082933e+00
-5.820000e-04,4.362400e+00,2.081867e+00
-5.810000e-04,4.362933e+00,2.080800e+00
-5.800000e-04,4.363467e+00,2.079733e+00
-5.790000e-04,4.362933e+00,2.081333e+00
-5.780000e-04,4.362400e+00,2.082933e+00
-5.770000e-04,4.361867e+00,2.084533e+00
-5.760000e-04,4.361333e+00,2.086400e+00
-5.750000e-04,4.360800e+00,2.088000e+00
-5.740000e-04,4.360267e+00,2.089600e+00
-5.730000e-04,4.359734e+00,2.091200e+00
-5.720000e-04,4.359200e+00,2.092800e+00
-5.710000e-04,4.359200e+00,2.093867e+00
-5.700000e-04,4.359200e+00,2.094933e+00
-5.690000e-04,4.359200e+00,2.096000e+00
-5.680000e-04,4.359200e+00,2.097067e+00
-5.670000e-04,4.359200e+00,2.098133e+00
-5.660000e-04,4.359200e+00,2.099200e+00
-5.650000e-04,4.359200e+00,2.100267e+00
-5.640000e-04,4.359200e+00,2.101333e+00
-5.630000e-04,4.358667e+00,2.102400e+00
-5.620000e-04,4.358133e+00,2.103467e+00
-5.610000e-04,4.357600e+00,2.104533e+00
-5.600000e-04,4.357067e+00,2.105600e+00
-5.590000e-04,4.356534e+00,2.106667e+00
-5.580000e-04,4.356000e+00,2.107733e+00
-5.570000e-04,4.355467e+00,2.108800e+00
-5.560000e-04,4.354933e+00,2.109867e+00
-5.550000e-04,4.356000e+00,2.107200e+00
-5.540000e-04,4.357067e+00,2.104533e+00
-5.530000e-04,4.358133e+00,2.101867e+00
-5.520000e-04,4.359200e+00,2.099200e+00
-5.510000e-04,4.360267e+00,2.096533e+00
-5.500000e-04,4.361333e+00,2.093867e+00
-5.490000e-04,4.362400e+00,2.091200e+00
-5.480000e-04,4.363467e+00,2.088533e+00
-5.470000e-04,4.365600e+00,2.089600e+00
-5.460000e-04,4.367733e+00,2.090667e+00
-5.450000e-04,4.370133e+00,2.091733e+00
-5.440000e-04,4.372267e+00,2.092800e+00
-5.430000e-04,4.374400e+00,2.093867e+00
-5.420000e-04,4.376534e+00,2.094933e+00
-5.410000e-04,4.378667e+00,2.096000e+00
-5.400000e-04,4.380800e+00,2.097067e+00
-5.390000e-04,4.378667e+00,2.093867e+00
-5.380000e-04,4.376534e+00,2.090667e+00
-5.370000e-04,4.374400e+00,2.087467e+00
-5.360000e-04,4.372267e+00,2.084000e+00
-5.350000e-04,4.370133e+00,2.080800e+00
-5.340000e-04,4.367733e+00,2.077600e+00
-5.330000e-04,4.365600e+00,2.074400e+00
-5.320000e-04,4.363467e+00,2.071200e+00
-5.310000e-04,4.364000e+00,2.073333e+00
-5.300000e-04,4.364533e+00,2.075467e+00
-5.290000e-04,4.365067e+00,2.077600e+00
-5.280000e-04,4.365600e+00,2.079733e+00
-5.270000e-04,4.366133e+00,2.081867e+00
-5.260000e-04,4.366667e+00,2.084000e+00
-5.250000e-04,4.367200e+00,2.086400e+00
-5.240000e-04,4.367733e+00,2.088533e+00
-5.230000e-04,4.367733e+00,2.088000e+00
-5.220000e-04,4.367733e+00,2.087467e+00
-5.210000e-04,4.367733e+00,2.086933e+00
-5.200000e-04,4.367733e+00,2.086400e+00
-5.190000e-04,4.367733e+00,2.085600e+00
-5.180000e-04,4.367733e+00,2.085067e+00
-5.170000e-04,4.367733e+00,2.084533e+00
-5.160000e-04,4.367733e+00,2.084000e+00
-5.150000e-04,4.368534e+00,2.086933e+00
-5.140000e-04,4.369067e+00,2.089600e+00
-5.130000e-04,4.369600e+00,2.092267e+00
-5.120000e-04,4.370133e+00,2.094933e+00
-5.110000e-04,4.370667e+00,2.097600e+00
