Time(s),CH1V,CH2V
-2.500000e-04,-2.186667e-02,-7.733333e-03
-2.495000e-04,8.266667e-03,-2.920000e-02
-2.490000e-04,4.186667e-02,-2.346667e-02
-2.485000e-04,8.186667e-02,-2.240000e-02
-2.480000e-04,1.080000e-01,-2.120000e-02
-2.475000e-04,1.464000e-01,-1.706667e-02
-2.470000e-04,1.597333e-01,-2.240000e-02
-2.465000e-04,2.021333e-01,-1.386667e-02
-2.460000e-04,2.333333e-01,-2.120000e-02
-2.455000e-04,2.594667e-01,-2.840000e-02
-2.450000e-04,2.920000e-01,-2.973333e-02
-2.445000e-04,3.216000e-01,-2.120000e-02
-2.440000e-04,3.504000e-01,-2.240000e-02
-2.435000e-04,3.866667e-01,-3.093333e-02
-2.430000e-04,4.218667e-01,-1.666667e-02
-2.425000e-04,4.562667e-01,-1.666667e-02
-2.420000e-04,4.930667e-01,-1.666667e-02
-2.415000e-04,5.098667e-01,-1.640000e-02
-2.410000e-04,5.482666e-01,-1.560000e-02
-2.405000e-04,5.722667e-01,-2.093333e-02
-2.400000e-04,6.013333e-01,-1.666667e-02
-2.395000e-04,6.285334e-01,-1.306667e-02
-2.390000e-04,6.597334e-01,-1.280000e-02
-2.385000e-04,7.016000e-01,-2.346667e-02
-2.380000e-04,7.357333e-01,-7.733333e-03
-2.375000e-04,7.573333e-01,-2.386667e-02
-2.370000e-04,7.712000e-01,-1.386667e-02
-2.365000e-04,8.288000e-01,-1.840000e-02
-2.360000e-04,8.504000e-01,-2.346667e-02
-2.355000e-04,8.829333e-01,-1.666667e-02
-2.350000e-04,9.120000e-01,-2.466667e-02
-2.345000e-04,9.450667e-01,-2.386667e-02
-2.340000e-04,9.608000e-01,-2.346667e-02
-2.335000e-04,9.954666e-01,-1.706667e-02
-2.330000e-04,1.009333e+00,-2.346667e-02
-2.325000e-04,1.050133e+00,-1.640000e-02
-2.320000e-04,1.075467e+00,-1.213333e-02
-2.315000e-04,1.098667e+00,-1.586667e-02
-2.310000e-04,1.130667e+00,-2.520000e-02
-2.305000e-04,1.168000e+00,-1.960000e-02
-2.300000e-04,1.194400e+00,-7.733333e-03
-2.295000e-04,1.224267e+00,-1.933333e-02
-2.290000e-04,1.235733e+00,-1.666667e-02
-2.285000e-04,1.258400e+00,-1.640000e-02
-2.280000e-04,1.296267e+00,-2.346667e-02
-2.275000e-04,1.308267e+00,-2.386667e-02
-2.270000e-04,1.340533e+00,-2.120000e-02
-2.265000e-04,1.342133e+00,-3.320000e-02
-2.260000e-04,1.380533e+00,-1.213333e-02
-2.255000e-04,1.422933e+00,-2.266667e-03
-2.250000e-04,1.462933e+00,-1.960000e-02
-2.245000e-04,1.476000e+00,-1.213333e-02
-2.240000e-04,1.506133e+00,-1.786667e-02
-2.235000e-04,1.508800e+00,-1.986667e-02
-2.230000e-04,1.554933e+00,-1.613333e-02
-2.225000e-04,1.577067e+00,-8.266667e-03
-2.220000e-04,1.575467e+00,-2.573333e-02
-2.215000e-04,1.619200e+00,-1.106667e-02
-2.210000e-04,1.627467e+00,-1.893333e-02
-2.205000e-04,1.670133e+00,-1.613333e-02
-2.200000e-04,1.692267e+00,-1.786667e-02
-2.195000e-04,1.708000e+00,-2.213333e-02
-2.190000e-04,1.728000e+00,-2.066667e-02
-2.185000e-04,1.748533e+00,-1.813333e-02
-2.180000e-04,1.783200e+00,-7.733333e-03
-2.175000e-04,1.795733e+00,-1.360000e-02
-2.170000e-04,1.823200e+00,-1.506667e-02
-2.165000e-04,1.845067e+00,-1.960000e-02
-2.160000e-04,1.854667e+00,-2.240000e-02
-2.155000e-04,1.888800e+00,-1.666667e-02
-2.150000e-04,1.901333e+00,-1.733333e-02
-2.145000e-04,1.940267e+00,-1.480000e-02
-2.140000e-04,1.926133e+00,-2.346667e-02
-2.135000e-04,1.947733e+00,-1.106667e-02
-2.130000e-04,1.964000e+00,-2.466667e-02
-2.125000e-04,1.989867e+00,-1.706667e-02
-2.120000e-04,2.014933e+00,-2.240000e-02
-2.115000e-04,2.032267e+00,-2.040000e-02
-2.110000e-04,2.051733e+00,-2.346667e-02
-2.105000e-04,2.074400e+00,-2.640000e-02
-2.100000e-04,2.086400e+00,-1.440000e-02
-2.095000e-04,2.114400e+00,-1.413333e-02
-2.090000e-04,2.129600e+00,-1.053333e-02
-2.085000e-04,2.143200e+00,-2.920000e-02
-2.080000e-04,2.146933e+00,-2.466667e-02
-2.075000e-04,2.170133e+00,-2.386667e-02
-2.070000e-04,2.186933e+00,-2.466667e-02
-2.065000e-04,2.200533e+00,-3.053333e-02
-2.060000e-04,2.194667e+00,-4.160000e-02
-2.055000e-04,2.236267e+00,-2.413333e-02
-2.050000e-04,2.223733e+00,-1.960000e-02
-2.045000e-04,2.244267e+00,-2.346667e-02
-2.040000e-04,2.246400e+00,-2.693333e-02
-2.035000e-04,2.275200e+00,-1.760000e-02
-2.030000e-04,2.292000e+00,-2.186667e-02
-2.025000e-04,2.303200e+00,-2.040000e-02
-2.020000e-04,2.307200e+00,-2.120000e-02
-2.015000e-04,2.318933e+00,-2.493333e-02
-2.010000e-04,2.338400e+00,-3.026667e-02
-2.005000e-04,2.334133e+00,-2.266667e-02
-2.000000e-04,2.344000e+00,-2.013333e-02
-1.995000e-04,2.354667e+00,-1.786667e-02
-1.990000e-04,2.361333e+00,-2.640000e-02
-1.985000e-04,2.378667e+00,-2.186667e-02
-1.980000e-04,2.380800e+00,-1.000000e-02
-1.975000e-04,2.396267e+00,-2.893333e-02
-1.970000e-04,2.391467e+00,-2.640000e-02
-1.965000e-04,2.405067e+00,-2.893333e-02
-1.960000e-04,2.400267e+00,-2.240000e-02
-1.955000e-04,2.406667e+00,-2.120000e-02
-1.950000e-04,2.442400e+00,-2.186667e-02
-1.945000e-04,2.433600e+00,-2.800000e-02
-1.940000e-04,2.441333e+00,-3.253333e-02
-1.935000e-04,2.445067e+00,-3.373333e-02
-1.930000e-04,2.438133e+00,-1.960000e-02
-1.925000e-04,2.451467e+00,-1.760000e-02
-1.920000e-04,2.452000e+00,-2.013333e-02
-1.915000e-04,2.455467e+00,-2.120000e-02
-1.910000e-04,2.457600e+00,-2.866667e-02
-1.905000e-04,2.455467e+00,-2.213333e-02
-1.900000e-04,2.467200e+00,-3.480000e-02
-1.895000e-04,2.478667e+00,-2.666667e-02
-1.890000e-04,2.477067e+00,-2.186667e-02
-1.885000e-04,2.473867e+00,-2.213333e-02
-1.880000e-04,2.471733e+00,-2.120000e-02
-1.875000e-04,2.464000e+00,-1.986667e-02
-1.870000e-04,2.478133e+00,-1.960000e-02
-1.865000e-04,2.476000e+00,-1.813333e-02
-1.860000e-04,2.480267e+00,-2.800000e-02
-1.855000e-04,2.468800e+00,-1.333333e-02
-1.850000e-04,2.460800e+00,-2.573333e-02
-1.845000e-04,2.457600e+00,-1.840000e-02
-1.840000e-04,2.471733e+00,-1.893333e-02
-1.835000e-04,2.450933e+00,-2.186667e-02
-1.830000e-04,2.447733e+00,-3.146667e-02
-1.825000e-04,2.445067e+00,-2.520000e-02
-1.820000e-04,2.441333e+00,-3.253333e-02
-1.815000e-04,2.429333e+00,-2.160000e-02
-1.810000e-04,2.445600e+00,-2.413333e-02
-1.805000e-04,2.415467e+00,-2.840000e-02
-1.800000e-04,2.421867e+00,-2.800000e-02
-1.795000e-04,2.408800e+00,-2.840000e-02
-1.790000e-04,2.399200e+00,-2.466667e-02
-1.785000e-04,2.407200e+00,-2.213333e-02
