
Freq(Hz),Gain(dB),Phase
215.625000,-15.839651,-73.631531
228.401584,-15.528839,-79.737350
241.935229,-15.678203,-80.337830
256.270792,-16.094830,-81.272339
271.455791,-16.183392,-80.442329
287.540558,-17.145355,-78.829964
304.578408,-17.265421,-81.166862
322.625813,-17.344942,-78.546402
341.742594,-18.623402,-76.391769
361.992116,-18.968353,-80.157249
383.441497,-19.655985,-80.524673
406.161834,-19.654560,-82.588074
430.228436,-20.256475,-79.019615
455.721074,-21.065071,-81.249115
482.724245,-21.670933,-81.997612
511.327455,-22.070635,-83.398079
541.625511,-22.134697,-83.132355
573.718841,-23.057259,-82.064560
607.713819,-23.118170,-84.356911
643.723127,-23.103199,-81.275085
681.866120,-24.435101,-77.921455
722.269228,-24.976463,-81.583481
765.066370,-25.664331,-82.831245
810.399402,-25.531559,-84.858650
858.418586,-25.971502,-79.952591
909.283085,-26.811775,-82.456894
963.161495,-27.451469,-82.390678
1020.232402,-27.954073,-83.750061
1080.684972,-27.933058,-83.217804
1144.719582,-28.886452,-81.110016
1212.548482,-29.126949,-83.379036
1284.396496,-29.172020,-81.148773
1360.501774,-30.464184,-78.150513
1441.116572,-30.881908,-81.506561
1526.508097,-31.518116,-80.986771
1616.959388,-31.726109,-82.868675
1712.770256,-32.171883,-79.048866
1814.258274,-33.172546,-80.070114
1921.759835,-33.805767,-80.964203
2035.631264,-33.828697,-81.787338
2156.250000,-34.880867,-79.934418
2284.015844,-35.224339,-80.719597
2419.352292,-35.773029,-80.392090
2562.707927,-36.108192,-81.908859
2714.557919,-36.167877,-79.631386
2875.405588,-37.310104,-75.131218
3045.784080,-37.972137,-76.514526
3226.258133,-38.224442,-74.885986
3417.425946,-39.530609,-72.047592
3619.921164,-39.862389,-75.004608
3834.414977,-40.729004,-72.748245
4061.618349,-41.434708,-72.517593
4302.284366,-42.273376,-70.102585
4557.210742,-43.020348,-71.217346
4827.242455,-43.558655,-66.408493
5113.274552,-44.440331,-67.992935
5416.255117,-44.863632,-65.847321
5737.188410,-46.100739,-58.778099
6077.138195,-47.456501,-54.895348
6437.231272,-49.628136,-49.980839
6818.661204,-50.702923,-46.053810
7222.692281,-51.206734,-42.210846
7650.663705,-51.735764,-30.680672
8103.994029,-52.591698,-17.313902
8584.185865,-53.975693,18.506351
9092.830855,-54.187241,14.825826
9631.614955,-52.997696,22.554150
10202.324021,-52.498329,30.466700
10806.849725,-51.119774,38.532410
11447.195828,-50.229980,48.661949
12125.484824,-48.271652,54.450905
12843.964969,-46.893105,63.747059
13605.017740,-46.919518,68.520447
14411.165722,-46.019638,67.549393
15265.080975,-44.975525,71.738708
16169.593888,-43.355530,71.872711
17127.702561,-42.854256,75.434891
18142.582741,-42.096603,74.467300
19217.598353,-41.472218,76.358139
20356.312644,-40.436203,77.187271
21562.500000,-40.303703,79.012314
22840.158449,-39.270588,79.416458
24193.522920,-38.694180,79.954742
25627.079279,-37.827599,79.249481
27145.579191,-36.869392,81.692657
28754.055881,-36.889168,83.760300
30457.840805,-36.023987,82.790283
32262.581334,-35.226452,85.435844
34174.259462,-35.376068,85.460159
36199.211640,-34.374256,83.744186
38344.149778,-34.009945,85.839287
40616.183492,-33.159508,84.705482
43022.843666,-32.890083,86.972885
45572.107421,-32.312267,84.717407
48272.424550,-31.875835,86.280807
50000.000000,-31.455048,85.579330
